No.,part number/description,Package,Value,Qty,RefDefs,Note,Supplier links
60,"Connector Header 2,54 mm 4 Pos ",TH,"1*4p 2,54",6,"PH31 - PH33, PH35 - PH37",,
61,"Connector Header 2,54 mm 6 Pos ",TH,"1*6p 2,54",3,"PH38, PH39, PH40",,
62,"Connector Header 2,54 mm 14 Pos (2x7)",TH,"2*7p 2,54",1,PH41 ,,
63,"Connector Header 2,54 mm 8 Pos ",TH,"1*8p 2,54",5,PH42 - PH46,,
64,"Connector Header 2,54 mm 9 Pos ",TH,"1*9p 2,54",1,PH47,,
65,"Connector Header 2,54 mm 10 Pos ",TH,"1*10p 2,54",10,PH48 - PH57,,
66,"Connector Header 2,54 mm 30 Pos ",TH,"1*30p 2,54",5,PH58 - PH62,,
67,"Connector Header 2,54 mm 16 Pos (2x8)",TH,"2*8p 2,54",1,PH63,,https://www.digikey.com/products/en?keywords=SBH11-PBPC-D08-RA-BK
68,Photocell,TH,GL5528,1,LDR, SBH11-PBPC-D08-RA-BK ,
69,2x7 segments display,TH,LTD-4708JR ,1,DP1,Common cathode 2x7,https://www.mouser.at/ProductDetail/Lite-On/LTD-4708JR?qs=sGAEpiMZZMvkC18yXH9iIldXaCJr4RZ8CLkc%2FfYUPGw%3D
70,Electrec Microphone,TH,,1,MIC,CMEJ-0627-42-P,https://www.mouser.at/ProductDetail/CUI-Devices/CMEJ-0627-42-P?qs=sGAEpiMZZMtcsMZaWNSqu%2Fz0YbdNREjMeFjt3asrnBr95QRHeZSqKg%3D%3D
71,Sliding potentiometer,TH,PTA2043-2015CPB103,1,P1,,https://www.mouser.at/ProductDetail/Bourns/PTA2043-2015CPB103?qs=sGAEpiMZZMtC25l1F4XBU%252BN3R7ksrj06fgSufFP%252BM%2FM%3D
72,Rotary potentiometer,TH,RK09K1130081 ,2,"P2, P3",,https://www.mouser.at/ProductDetail/ALPS/RK09K1130081?qs=%2Fha2pyFaduhNLJpKmWFhbaj9lwEHQYo5BDAWTYRugBca1g1hEaBC8g%3D%3D
73,Speaker,TH,AST-01708MR-R,1,SP1,,https://www.mouser.at/ProductDetail/PUI-Audio/AST-01708MR-R?qs=%2Fha2pyFadujLsPNs%2FSjN4CJP1D0R6XgC2BYhqeC92Z4hngMQciq7pQ%3D%3D
